model,tau,cluster_id,size,labelled_size,lexical_domain_purity,n_distinct_domains,dominant_domain
rotate,0.45,576,3,3,0.6666666666666666,2,noun.act
rotate,0.45,577,3,3,0.6666666666666666,2,noun.act
rotate,0.45,578,2,2,1.0,1,noun.group
rotate,0.45,579,2,2,1.0,1,noun.group
rotate,0.45,580,2,2,1.0,1,noun.act
rotate,0.45,581,2,2,1.0,1,noun.group
rotate,0.45,582,4,4,1.0,1,noun.group
rotate,0.45,583,2,2,1.0,1,noun.group
rotate,0.45,584,2,2,1.0,1,noun.group
rotate,0.45,588,3,3,1.0,1,noun.artifact
rotate,0.45,589,2,2,1.0,1,noun.artifact
rotate,0.45,590,2,2,1.0,1,noun.artifact
rotate,0.45,594,2,2,0.5,2,noun.act
rotate,0.45,598,2,2,1.0,1,noun.communication
rotate,0.45,599,2,2,1.0,1,noun.communication
rotate,0.45,600,3,3,1.0,1,noun.communication
rotate,0.45,601,3,2,1.0,1,noun.communication
rotate,0.45,609,2,2,1.0,1,noun.act
rotate,0.45,610,2,2,1.0,1,noun.act
rotate,0.45,613,2,2,0.5,2,noun.state
rotate,0.45,614,2,2,1.0,1,noun.act
rotate,0.45,617,3,2,1.0,1,noun.cognition
rotate,0.45,639,3,3,1.0,1,noun.act
rotate,0.45,640,3,3,1.0,1,noun.act
rotate,0.45,641,3,3,1.0,1,noun.act
rotate,0.45,647,2,2,1.0,1,noun.act
rotate,0.45,648,2,2,0.5,2,noun.act
rotate,0.45,649,2,2,0.5,2,noun.act
rotate,0.45,650,2,2,0.5,2,noun.act
rotate,0.45,651,2,2,1.0,1,noun.act
rotate,0.45,652,2,2,1.0,1,noun.act
rotate,0.45,653,2,2,0.5,2,noun.person
rotate,0.45,655,2,2,1.0,1,noun.act
rotate,0.45,657,2,2,1.0,1,noun.act
rotate,0.45,667,2,2,1.0,1,noun.act
rotate,0.45,693,2,2,0.5,2,noun.act
rotate,0.45,704,2,2,0.5,2,noun.attribute
rotate,0.45,708,2,2,1.0,1,noun.act
rotate,0.45,709,2,2,1.0,1,noun.act
rotate,0.45,733,2,2,1.0,1,noun.act
rotate,0.45,734,2,2,0.5,2,noun.act
rotate,0.45,735,2,2,1.0,1,noun.act
rotate,0.45,737,2,2,0.5,2,noun.act
rotate,0.45,738,2,2,0.5,2,noun.act
rotate,0.45,739,3,3,1.0,1,noun.act
rotate,0.45,740,3,3,1.0,1,noun.act
rotate,0.45,741,2,2,0.5,2,noun.group
rotate,0.45,742,2,2,0.5,2,noun.person
rotate,0.45,743,3,3,1.0,1,noun.act
rotate,0.45,747,4,4,0.5,3,noun.attribute
rotate,0.45,748,4,4,0.5,3,noun.act
rotate,0.45,749,2,2,0.5,2,noun.artifact
rotate,0.45,755,2,2,1.0,1,noun.act
rotate,0.45,778,2,2,1.0,1,noun.attribute
rotate,0.45,779,2,2,1.0,1,noun.attribute
rotate,0.45,780,2,2,0.5,2,noun.act
rotate,0.45,781,2,2,0.5,2,noun.act
rotate,0.45,782,2,2,1.0,1,noun.act
rotate,0.45,783,3,3,1.0,1,noun.act
rotate,0.45,784,3,3,1.0,1,noun.act
rotate,0.45,785,2,2,1.0,1,noun.act
rotate,0.45,786,2,2,1.0,1,noun.act
rotate,0.45,787,2,2,0.5,2,noun.act
rotate,0.45,805,2,2,0.5,2,noun.act
rotate,0.45,806,2,2,1.0,1,noun.act
rotate,0.45,807,3,3,1.0,1,noun.act
rotate,0.45,808,2,2,0.5,2,noun.act
rotate,0.45,809,2,2,0.5,2,noun.person
rotate,0.45,810,2,2,0.5,2,noun.person
rotate,0.45,811,2,2,1.0,1,noun.act
rotate,0.45,812,3,3,1.0,1,noun.act
rotate,0.45,813,2,2,1.0,1,noun.act
rotate,0.45,814,4,4,1.0,1,noun.act
rotate,0.45,815,3,3,1.0,1,noun.act
rotate,0.45,816,2,2,0.5,2,noun.act
rotate,0.45,817,2,2,1.0,1,noun.act
rotate,0.45,818,2,2,0.5,2,noun.act
rotate,0.45,834,4,4,0.5,3,noun.artifact
rotate,0.45,835,3,3,1.0,1,noun.artifact
rotate,0.45,836,3,3,1.0,1,noun.artifact
rotate,0.45,837,3,3,1.0,1,noun.artifact
rotate,0.45,838,2,2,1.0,1,noun.artifact
rotate,0.45,839,3,3,1.0,1,noun.act
rotate,0.45,840,3,3,0.6666666666666666,2,noun.act
rotate,0.45,841,2,2,1.0,1,noun.act
rotate,0.45,842,2,2,1.0,1,noun.act
rotate,0.45,843,2,2,1.0,1,noun.act
rotate,0.45,849,2,2,1.0,1,noun.act
rotate,0.45,850,2,2,1.0,1,noun.act
rotate,0.45,851,2,2,0.5,2,noun.act
rotate,0.45,856,2,2,1.0,1,noun.act
rotate,0.45,863,2,2,1.0,1,noun.act
rotate,0.45,864,2,2,1.0,1,noun.act
rotate,0.45,865,2,2,1.0,1,noun.act
rotate,0.45,866,3,3,1.0,1,noun.state
rotate,0.45,867,2,2,0.5,2,noun.state
rotate,0.45,868,3,3,1.0,1,noun.state
