model,tau,cluster_id,size,labelled_size,lexical_domain_purity,n_distinct_domains,dominant_domain
transe,0.45,839,2,2,1.0,1,noun.food
transe,0.45,840,2,2,1.0,1,noun.food
transe,0.45,842,2,2,1.0,1,noun.animal
transe,0.45,845,2,2,1.0,1,noun.animal
transe,0.45,846,2,2,1.0,1,noun.animal
transe,0.45,849,2,2,1.0,1,noun.animal
transe,0.45,850,2,2,1.0,1,noun.animal
transe,0.45,851,2,2,1.0,1,noun.animal
transe,0.45,852,2,2,1.0,1,noun.animal
transe,0.45,853,2,2,1.0,1,noun.animal
transe,0.45,854,2,2,1.0,1,noun.animal
transe,0.45,861,2,2,1.0,1,noun.artifact
transe,0.45,862,2,2,1.0,1,noun.animal
transe,0.45,864,2,2,1.0,1,noun.animal
transe,0.45,865,2,2,1.0,1,noun.animal
transe,0.45,866,2,2,1.0,1,noun.animal
transe,0.45,867,2,2,1.0,1,noun.animal
transe,0.45,868,2,2,1.0,1,noun.animal
transe,0.45,869,2,2,1.0,1,noun.animal
transe,0.45,870,2,2,1.0,1,noun.animal
transe,0.45,871,2,2,0.5,2,noun.artifact
transe,0.45,872,2,2,1.0,1,noun.artifact
transe,0.45,874,2,2,1.0,1,noun.animal
transe,0.45,876,3,3,1.0,1,noun.body
transe,0.45,877,2,2,0.5,2,noun.body
transe,0.45,879,2,2,1.0,1,noun.animal
transe,0.45,882,2,2,1.0,1,noun.animal
transe,0.45,884,2,2,1.0,1,noun.animal
transe,0.45,886,2,2,0.5,2,noun.attribute
transe,0.45,887,2,2,1.0,1,noun.attribute
transe,0.45,891,2,2,1.0,1,noun.person
transe,0.45,894,2,2,1.0,1,noun.animal
transe,0.45,895,2,2,1.0,1,noun.artifact
transe,0.45,897,2,2,1.0,1,noun.animal
transe,0.45,900,2,2,1.0,1,noun.animal
transe,0.45,905,2,2,1.0,1,noun.artifact
transe,0.45,906,2,2,1.0,1,noun.artifact
transe,0.45,907,2,2,1.0,1,noun.artifact
transe,0.45,908,2,2,1.0,1,noun.animal
transe,0.45,909,2,2,1.0,1,noun.animal
transe,0.45,910,2,2,0.5,2,noun.animal
transe,0.45,911,2,2,1.0,1,noun.artifact
transe,0.45,912,2,2,1.0,1,noun.artifact
transe,0.45,913,2,2,1.0,1,noun.artifact
transe,0.45,914,2,2,1.0,1,noun.animal
transe,0.45,915,2,2,1.0,1,noun.animal
transe,0.45,916,2,2,1.0,1,noun.animal
transe,0.45,917,2,2,1.0,1,noun.animal
transe,0.45,918,2,2,1.0,1,noun.animal
transe,0.45,919,2,2,1.0,1,noun.artifact
transe,0.45,921,2,2,1.0,1,noun.animal
transe,0.45,922,2,2,1.0,1,noun.animal
transe,0.45,923,2,2,1.0,1,noun.animal
transe,0.45,924,2,2,1.0,1,noun.animal
transe,0.45,925,2,2,1.0,1,noun.animal
transe,0.45,927,2,2,0.5,2,noun.animal
transe,0.45,929,2,2,1.0,1,noun.animal
transe,0.45,930,2,2,1.0,1,noun.animal
transe,0.45,931,2,2,1.0,1,noun.animal
transe,0.45,932,3,3,1.0,1,noun.animal
transe,0.45,933,3,2,1.0,1,noun.animal
transe,0.45,936,2,2,1.0,1,noun.animal
transe,0.45,937,2,2,1.0,1,noun.animal
transe,0.45,938,2,2,1.0,1,noun.animal
transe,0.45,939,2,2,1.0,1,noun.animal
transe,0.45,940,2,2,1.0,1,noun.animal
transe,0.45,941,2,2,1.0,1,noun.animal
transe,0.45,942,2,2,1.0,1,noun.animal
transe,0.45,943,2,2,1.0,1,noun.animal
transe,0.45,944,2,2,1.0,1,noun.animal
transe,0.45,945,2,2,1.0,1,noun.animal
transe,0.45,946,2,2,1.0,1,noun.animal
transe,0.45,947,2,2,1.0,1,noun.animal
transe,0.45,948,2,2,1.0,1,noun.animal
transe,0.45,949,2,2,1.0,1,noun.animal
transe,0.45,950,3,3,1.0,1,noun.animal
transe,0.45,951,2,2,0.5,2,noun.cognition
transe,0.45,955,2,2,1.0,1,noun.group
transe,0.45,956,2,2,1.0,1,noun.artifact
transe,0.45,957,3,2,0.5,2,noun.artifact
transe,0.45,961,2,2,1.0,1,noun.animal
transe,0.45,962,2,2,1.0,1,noun.animal
transe,0.45,963,2,2,1.0,1,noun.animal
transe,0.45,964,2,2,1.0,1,noun.animal
transe,0.45,965,2,2,1.0,1,noun.animal
transe,0.45,966,2,2,1.0,1,noun.animal
transe,0.45,967,2,2,1.0,1,noun.animal
transe,0.45,968,2,2,1.0,1,noun.animal
transe,0.45,970,2,2,1.0,1,noun.animal
transe,0.45,971,2,2,1.0,1,noun.animal
transe,0.45,972,3,3,1.0,1,noun.animal
transe,0.45,977,2,2,1.0,1,noun.animal
transe,0.45,979,2,2,1.0,1,noun.artifact
transe,0.45,983,3,2,1.0,1,noun.artifact
transe,0.45,985,2,2,1.0,1,noun.food
transe,0.45,990,3,2,0.5,2,noun.person
transe,0.45,991,4,3,0.3333333333333333,3,noun.person
transe,0.45,995,2,2,0.5,2,noun.communication
transe,0.45,996,2,2,1.0,1,noun.communication
transe,0.45,998,2,2,1.0,1,noun.animal
transe,0.45,999,2,2,1.0,1,noun.animal
transe,0.45,1000,2,2,1.0,1,noun.animal
transe,0.45,1002,4,3,0.6666666666666666,2,noun.artifact
transe,0.45,1007,3,3,1.0,1,noun.phenomenon
transe,0.45,1010,2,2,1.0,1,noun.body
transe,0.45,1011,2,2,1.0,1,noun.body
transe,0.45,1012,2,2,1.0,1,noun.body
